Draw_Number,Winning_Number_1,Winning_Number_2,Winning_Number_3,Winning_Number_4,Winning_Number_5,Winning_Number_6
401814,9,15,23,42,46,55
401914,2,10,17,26,37,38
402014,2,11,16,34,43,57
402114,7,8,11,34,57,58
402214,11,17,22,30,35,38
402314,2,8,31,35,42,52
402414,8,9,19,31,34,42
402514,9,14,24,29,36,44
402614,10,14,15,16,40,43
402714,8,16,21,29,37,53
402814,1,8,10,31,34,37
402914,4,24,32,36,42,55
403014,10,24,31,50,56,57
403114,6,16,18,32,33,55
403214,9,11,16,20,43,44
403314,17,20,24,27,33,52
403414,6,15,26,34,37,43
403514,8,10,20,28,53,58
403614,3,22,28,31,40,55
403714,27,32,33,37,39,47
403814,4,32,44,49,52,55
403914,11,16,20,43,46,54
404014,1,6,20,26,50,53
404114,10,32,36,43,47,56
404214,6,14,42,45,50,58
404314,22,25,38,45,49,51
404414,8,9,21,26,31,37
404514,10,14,21,32,52,57
404614,15,26,32,40,47,54
404714,5,12,38,54,55,58
404814,1,4,6,11,25,30
404914,8,14,22,45,46,52
405014,14,17,27,31,37,43
405114,20,23,32,35,40,41
405214,7,10,16,36,51,57
405314,3,27,29,39,40,54
405414,1,8,16,35,41,43
405514,3,5,12,29,35,40
405614,4,7,18,32,40,41
405714,3,11,16,25,38,56
405814,17,23,38,42,43,49
405914,6,13,23,37,46,51
406014,10,25,39,45,52,55
406114,3,10,35,38,53,54
406214,13,24,42,49,53,55
406314,8,29,37,39,45,48
406414,16,20,22,24,28,34
406514,1,2,5,18,21,41
406614,20,23,27,50,55,56
406714,4,18,19,42,43,53
406814,6,12,16,28,37,42
406914,7,9,21,35,44,52
407014,8,16,18,29,37,40
407114,14,16,20,44,57,58
407214,1,24,30,36,47,49
407314,28,30,31,35,36,47
407414,17,19,20,32,50,53
407514,5,7,15,22,31,55
407614,12,26,31,41,51,52
407714,3,6,21,39,52,54
407814,7,19,20,26,37,54
407914,5,9,17,28,32,48
408014,21,24,26,30,45,57
408114,15,42,49,54,55,56
408214,4,9,10,11,49,52
408314,22,23,30,31,41,43
408414,10,19,27,29,34,48
408514,1,7,15,29,36,37
408614,12,21,25,37,39,58
408714,12,26,35,37,39,46
408814,1,20,25,26,42,44
408914,11,20,29,39,49,58
409014,2,15,35,44,53,54
409114,19,29,37,46,51,54
409214,15,22,23,29,34,44
409314,6,15,16,31,38,44
409414,4,6,29,33,36,45
409514,25,32,44,52,54,58
409614,10,13,26,40,47,53
409714,2,7,10,22,38,54
409814,9,12,18,19,20,51
409914,24,30,36,45,52,56
410014,10,18,30,50,56,57
410114,4,7,24,34,40,48
410214,1,15,42,44,49,54
410314,14,25,28,42,48,55
410414,21,34,36,47,50,53
410514,9,17,21,30,39,42
410614,29,30,36,42,46,53
410714,8,11,13,31,33,54
410814,11,24,31,38,40,53
410914,12,13,15,24,29,31
411014,2,20,45,49,54,55
411114,15,17,19,39,51,52
411214,5,22,24,26,42,46
411314,1,8,34,39,46,55
411414,4,15,39,44,51,57
411514,1,3,13,30,44,58
411614,5,21,23,33,42,55
411714,2,5,7,21,44,48
411814,12,14,15,21,36,47
411914,1,2,14,33,37,46
412014,19,23,31,33,51,54
412114,3,4,10,13,46,57
412214,1,15,25,37,48,56
412314,2,19,31,39,46,49
412414,2,3,26,35,45,48
412514,2,6,11,17,47,49
412614,3,16,24,40,43,44
412714,3,12,16,38,47,52
412814,4,6,13,14,26,55
412914,4,11,15,28,39,57
413014,2,18,27,29,47,57
413114,20,22,27,30,49,54
413214,20,23,28,39,41,47
413314,1,17,21,24,48,54
413414,6,15,44,45,54,58
413514,3,6,9,36,52,53
413614,13,16,20,22,29,40
413714,2,6,10,16,24,54
413814,36,37,44,46,55,58
413914,12,17,20,26,36,46
414014,8,10,11,36,39,44
414114,5,15,30,34,39,51
414214,1,4,6,36,38,44
414314,12,14,19,28,29,32
414414,7,10,19,28,41,42
414514,13,17,20,33,34,39
414614,5,6,21,27,33,51
414714,17,24,31,37,43,53
414814,14,22,27,32,34,58
414914,20,27,32,39,54,57
415014,9,13,21,24,36,53
415114,11,12,21,33,47,50
415214,15,17,18,49,52,58
415314,17,18,24,42,47,50
415414,6,10,42,46,49,54
415514,4,15,17,27,29,44
415614,1,35,40,42,47,49
415714,12,14,20,31,38,47
415814,22,31,38,42,45,50
415914,7,22,23,46,49,57
416014,3,18,20,23,39,54
416114,12,17,24,34,36,58
416214,2,12,29,31,34,55
416314,7,23,30,32,49,55
416414,8,24,26,32,46,48
416514,9,14,18,34,46,53
416614,2,11,22,44,49,54
416714,1,9,15,17,50,53
416814,1,8,16,20,38,39
416914,11,19,24,30,37,41
417014,11,23,25,46,49,54
417114,4,12,25,38,40,49
417215,6,14,31,32,40,54
417315,6,12,14,18,33,57
417415,2,6,22,36,46,55
417515,3,9,27,42,43,56
417615,10,12,33,40,45,46
417715,6,12,23,46,48,56
